FIPS Code,Geography,Year,Program Type,Population
36000,New York State,2001,Intercensal Population Estimate,19082838
36001,Albany County,2001,Intercensal Population Estimate,296232
36003,Allegany County,2001,Intercensal Population Estimate,50079
36005,Bronx County,2001,Intercensal Population Estimate,1346555
36007,Broome County,2001,Intercensal Population Estimate,200868
36009,Cattaraugus County,2001,Intercensal Population Estimate,83346
36011,Cayuga County,2001,Intercensal Population Estimate,81313
36013,Chautauqua County,2001,Intercensal Population Estimate,138730
36015,Chemung County,2001,Intercensal Population Estimate,90780
36017,Chenango County,2001,Intercensal Population Estimate,51109
36019,Clinton County,2001,Intercensal Population Estimate,80320
36021,Columbia County,2001,Intercensal Population Estimate,62953
36023,Cortland County,2001,Intercensal Population Estimate,48903
36025,Delaware County,2001,Intercensal Population Estimate,47771
36027,Dutchess County,2001,Intercensal Population Estimate,284712
36029,Erie County,2001,Intercensal Population Estimate,946515
36031,Essex County,2001,Intercensal Population Estimate,38893
36033,Franklin County,2001,Intercensal Population Estimate,50925
36035,Fulton County,2001,Intercensal Population Estimate,54904
36037,Genesee County,2001,Intercensal Population Estimate,60321
36039,Greene County,2001,Intercensal Population Estimate,47976
36041,Hamilton County,2001,Intercensal Population Estimate,5312
36043,Herkimer County,2001,Intercensal Population Estimate,64274
36045,Jefferson County,2001,Intercensal Population Estimate,111422
36047,Kings County,2001,Intercensal Population Estimate,2477252
36049,Lewis County,2001,Intercensal Population Estimate,26951
36051,Livingston County,2001,Intercensal Population Estimate,65088
36053,Madison County,2001,Intercensal Population Estimate,69852
36055,Monroe County,2001,Intercensal Population Estimate,739891
36057,Montgomery County,2001,Intercensal Population Estimate,49472
36059,Nassau County,2001,Intercensal Population Estimate,1337086
36061,New York County,2001,Intercensal Population Estimate,1555729
36063,Niagara County,2001,Intercensal Population Estimate,218552
36065,Oneida County,2001,Intercensal Population Estimate,234247
36067,Onondaga County,2001,Intercensal Population Estimate,458576
36069,Ontario County,2001,Intercensal Population Estimate,100819
36071,Orange County,2001,Intercensal Population Estimate,347674
36073,Orleans County,2001,Intercensal Population Estimate,43898
36075,Oswego County,2001,Intercensal Population Estimate,122269
36077,Otsego County,2001,Intercensal Population Estimate,61924
36079,Putnam County,2001,Intercensal Population Estimate,97055
36081,Queens County,2001,Intercensal Population Estimate,2231316
36083,Rensselaer County,2001,Intercensal Population Estimate,152700
36085,Richmond County,2001,Intercensal Population Estimate,448961
36087,Rockland County,2001,Intercensal Population Estimate,290613
36089,St. Lawrence County,2001,Intercensal Population Estimate,111497
36091,Saratoga County,2001,Intercensal Population Estimate,203974
36093,Schenectady County,2001,Intercensal Population Estimate,146334
36095,Schoharie County,2001,Intercensal Population Estimate,31794
36097,Schuyler County,2001,Intercensal Population Estimate,19175
36099,Seneca County,2001,Intercensal Population Estimate,34764
36101,Steuben County,2001,Intercensal Population Estimate,99216
36103,Suffolk County,2001,Intercensal Population Estimate,1442488
36105,Sullivan County,2001,Intercensal Population Estimate,74143
36107,Tioga County,2001,Intercensal Population Estimate,51712
36109,Tompkins County,2001,Intercensal Population Estimate,97458
36111,Ulster County,2001,Intercensal Population Estimate,178440
36113,Warren County,2001,Intercensal Population Estimate,63406
36115,Washington County,2001,Intercensal Population Estimate,61142
36117,Wayne County,2001,Intercensal Population Estimate,93794
36119,Westchester County,2001,Intercensal Population Estimate,931577
36121,Wyoming County,2001,Intercensal Population Estimate,43061
36123,Yates County,2001,Intercensal Population Estimate,24725
36000,New York State,2002,Intercensal Population Estimate,19137800
36001,Albany County,2002,Intercensal Population Estimate,298283
36003,Allegany County,2002,Intercensal Population Estimate,50014
36005,Bronx County,2002,Intercensal Population Estimate,1358739
36007,Broome County,2002,Intercensal Population Estimate,201438
36009,Cattaraugus County,2002,Intercensal Population Estimate,83301
36011,Cayuga County,2002,Intercensal Population Estimate,81401
36013,Chautauqua County,2002,Intercensal Population Estimate,138346
36015,Chemung County,2002,Intercensal Population Estimate,90613
36017,Chenango County,2002,Intercensal Population Estimate,51205
36019,Clinton County,2002,Intercensal Population Estimate,80707
36021,Columbia County,2002,Intercensal Population Estimate,63182
36023,Cortland County,2002,Intercensal Population Estimate,48891
36025,Delaware County,2002,Intercensal Population Estimate,47666
36027,Dutchess County,2002,Intercensal Population Estimate,287700
36029,Erie County,2002,Intercensal Population Estimate,943551
36031,Essex County,2002,Intercensal Population Estimate,39195
36033,Franklin County,2002,Intercensal Population Estimate,50924
36035,Fulton County,2002,Intercensal Population Estimate,54988
36037,Genesee County,2002,Intercensal Population Estimate,60289
36039,Greene County,2002,Intercensal Population Estimate,48177
36041,Hamilton County,2002,Intercensal Population Estimate,5232
36043,Herkimer County,2002,Intercensal Population Estimate,63971
36045,Jefferson County,2002,Intercensal Population Estimate,111112
36047,Kings County,2002,Intercensal Population Estimate,2480559
36049,Lewis County,2002,Intercensal Population Estimate,26618
36051,Livingston County,2002,Intercensal Population Estimate,65118
36053,Madison County,2002,Intercensal Population Estimate,70261
36055,Monroe County,2002,Intercensal Population Estimate,741391
36057,Montgomery County,2002,Intercensal Population Estimate,49298
36059,Nassau County,2002,Intercensal Population Estimate,1339572
36061,New York County,2002,Intercensal Population Estimate,1555382
36063,Niagara County,2002,Intercensal Population Estimate,218127
36065,Oneida County,2002,Intercensal Population Estimate,234078
36067,Onondaga County,2002,Intercensal Population Estimate,459484
36069,Ontario County,2002,Intercensal Population Estimate,101763
36071,Orange County,2002,Intercensal Population Estimate,352975
36073,Orleans County,2002,Intercensal Population Estimate,43660
36075,Oswego County,2002,Intercensal Population Estimate,122496
36077,Otsego County,2002,Intercensal Population Estimate,62093
36079,Putnam County,2002,Intercensal Population Estimate,98263
36081,Queens County,2002,Intercensal Population Estimate,2224507
36083,Rensselaer County,2002,Intercensal Population Estimate,153040
36085,Richmond County,2002,Intercensal Population Estimate,452813
36087,Rockland County,2002,Intercensal Population Estimate,293728
36089,St. Lawrence County,2002,Intercensal Population Estimate,111292
36091,Saratoga County,2002,Intercensal Population Estimate,206446
36093,Schenectady County,2002,Intercensal Population Estimate,147199
36095,Schoharie County,2002,Intercensal Population Estimate,31785
36097,Schuyler County,2002,Intercensal Population Estimate,19179
36099,Seneca County,2002,Intercensal Population Estimate,35046
36101,Steuben County,2002,Intercensal Population Estimate,99583
36103,Suffolk County,2002,Intercensal Population Estimate,1456745
36105,Sullivan County,2002,Intercensal Population Estimate,74452
36107,Tioga County,2002,Intercensal Population Estimate,51992
36109,Tompkins County,2002,Intercensal Population Estimate,98227
36111,Ulster County,2002,Intercensal Population Estimate,180128
36113,Warren County,2002,Intercensal Population Estimate,63774
36115,Washington County,2002,Intercensal Population Estimate,61152
36117,Wayne County,2002,Intercensal Population Estimate,93735
36119,Westchester County,2002,Intercensal Population Estimate,935219
36121,Wyoming County,2002,Intercensal Population Estimate,43007
36123,Yates County,2002,Intercensal Population Estimate,24688
36000,New York State,2003,Intercensal Population Estimate,19175939
36001,Albany County,2003,Intercensal Population Estimate,301085
36003,Allegany County,2003,Intercensal Population Estimate,50165
36005,Bronx County,2003,Intercensal Population Estimate,1362373
36007,Broome County,2003,Intercensal Population Estimate,201037
36009,Cattaraugus County,2003,Intercensal Population Estimate,83335
36011,Cayuga County,2003,Intercensal Population Estimate,81395
36013,Chautauqua County,2003,Intercensal Population Estimate,137587
36015,Chemung County,2003,Intercensal Population Estimate,90154
36017,Chenango County,2003,Intercensal Population Estimate,51393
36019,Clinton County,2003,Intercensal Population Estimate,81396
36021,Columbia County,2003,Intercensal Population Estimate,63304
36023,Cortland County,2003,Intercensal Population Estimate,49475
36025,Delaware County,2003,Intercensal Population Estimate,47930
36027,Dutchess County,2003,Intercensal Population Estimate,290781
36029,Erie County,2003,Intercensal Population Estimate,941846
36031,Essex County,2003,Intercensal Population Estimate,39334
36033,Franklin County,2003,Intercensal Population Estimate,51228
36035,Fulton County,2003,Intercensal Population Estimate,55081
36037,Genesee County,2003,Intercensal Population Estimate,60412
36039,Greene County,2003,Intercensal Population Estimate,48416
36041,Hamilton County,2003,Intercensal Population Estimate,5181
36043,Herkimer County,2003,Intercensal Population Estimate,64080
36045,Jefferson County,2003,Intercensal Population Estimate,110246
36047,Kings County,2003,Intercensal Population Estimate,2472999
36049,Lewis County,2003,Intercensal Population Estimate,26692
36051,Livingston County,2003,Intercensal Population Estimate,65130
36053,Madison County,2003,Intercensal Population Estimate,71010
36055,Monroe County,2003,Intercensal Population Estimate,741671
36057,Montgomery County,2003,Intercensal Population Estimate,49449
36059,Nassau County,2003,Intercensal Population Estimate,1339761
36061,New York County,2003,Intercensal Population Estimate,1562154
36063,Niagara County,2003,Intercensal Population Estimate,218072
36065,Oneida County,2003,Intercensal Population Estimate,234243
36067,Onondaga County,2003,Intercensal Population Estimate,460961
36069,Ontario County,2003,Intercensal Population Estimate,102625
36071,Orange County,2003,Intercensal Population Estimate,358727
36073,Orleans County,2003,Intercensal Population Estimate,43593
36075,Oswego County,2003,Intercensal Population Estimate,123120
36077,Otsego County,2003,Intercensal Population Estimate,62567
36079,Putnam County,2003,Intercensal Population Estimate,98964
36081,Queens County,2003,Intercensal Population Estimate,2214608
36083,Rensselaer County,2003,Intercensal Population Estimate,154201
36085,Richmond County,2003,Intercensal Population Estimate,455939
36087,Rockland County,2003,Intercensal Population Estimate,296224
36089,St. Lawrence County,2003,Intercensal Population Estimate,111329
36091,Saratoga County,2003,Intercensal Population Estimate,209410
36093,Schenectady County,2003,Intercensal Population Estimate,147891
36095,Schoharie County,2003,Intercensal Population Estimate,32032
36097,Schuyler County,2003,Intercensal Population Estimate,19151
36099,Seneca County,2003,Intercensal Population Estimate,35212
36101,Steuben County,2003,Intercensal Population Estimate,99191
36103,Suffolk County,2003,Intercensal Population Estimate,1470849
36105,Sullivan County,2003,Intercensal Population Estimate,75447
36107,Tioga County,2003,Intercensal Population Estimate,51895
36109,Tompkins County,2003,Intercensal Population Estimate,99049
36111,Ulster County,2003,Intercensal Population Estimate,180942
36113,Warren County,2003,Intercensal Population Estimate,64323
36115,Washington County,2003,Intercensal Population Estimate,61621
36117,Wayne County,2003,Intercensal Population Estimate,94001
36119,Westchester County,2003,Intercensal Population Estimate,935799
36121,Wyoming County,2003,Intercensal Population Estimate,42955
36123,Yates County,2003,Intercensal Population Estimate,24898
36000,New York State,2004,Intercensal Population Estimate,19171567
36001,Albany County,2004,Intercensal Population Estimate,302173
36003,Allegany County,2004,Intercensal Population Estimate,50311
36005,Bronx County,2004,Intercensal Population Estimate,1358963
36007,Broome County,2004,Intercensal Population Estimate,200974
36009,Cattaraugus County,2004,Intercensal Population Estimate,82864
36011,Cayuga County,2004,Intercensal Population Estimate,81284
36013,Chautauqua County,2004,Intercensal Population Estimate,137174
36015,Chemung County,2004,Intercensal Population Estimate,89777
36017,Chenango County,2004,Intercensal Population Estimate,51297
36019,Clinton County,2004,Intercensal Population Estimate,81803
36021,Columbia County,2004,Intercensal Population Estimate,63646
36023,Cortland County,2004,Intercensal Population Estimate,49628
36025,Delaware County,2004,Intercensal Population Estimate,48283
36027,Dutchess County,2004,Intercensal Population Estimate,292859
36029,Erie County,2004,Intercensal Population Estimate,938333
36031,Essex County,2004,Intercensal Population Estimate,39295
36033,Franklin County,2004,Intercensal Population Estimate,51197
36035,Fulton County,2004,Intercensal Population Estimate,55233
36037,Genesee County,2004,Intercensal Population Estimate,60224
36039,Greene County,2004,Intercensal Population Estimate,48755
36041,Hamilton County,2004,Intercensal Population Estimate,5158
36043,Herkimer County,2004,Intercensal Population Estimate,64332
36045,Jefferson County,2004,Intercensal Population Estimate,109924
36047,Kings County,2004,Intercensal Population Estimate,2459094
36049,Lewis County,2004,Intercensal Population Estimate,26661
36051,Livingston County,2004,Intercensal Population Estimate,65484
36053,Madison County,2004,Intercensal Population Estimate,71397
36055,Monroe County,2004,Intercensal Population Estimate,741075
36057,Montgomery County,2004,Intercensal Population Estimate,49460
36059,Nassau County,2004,Intercensal Population Estimate,1337964
36061,New York County,2004,Intercensal Population Estimate,1569947
36063,Niagara County,2004,Intercensal Population Estimate,217737
36065,Oneida County,2004,Intercensal Population Estimate,234654
36067,Onondaga County,2004,Intercensal Population Estimate,461412
36069,Ontario County,2004,Intercensal Population Estimate,103385
36071,Orange County,2004,Intercensal Population Estimate,362934
36073,Orleans County,2004,Intercensal Population Estimate,43682
36075,Oswego County,2004,Intercensal Population Estimate,123340
36077,Otsego County,2004,Intercensal Population Estimate,62934
36079,Putnam County,2004,Intercensal Population Estimate,99468
36081,Queens County,2004,Intercensal Population Estimate,2198516
36083,Rensselaer County,2004,Intercensal Population Estimate,155523
36085,Richmond County,2004,Intercensal Population Estimate,456846
36087,Rockland County,2004,Intercensal Population Estimate,297562
36089,St. Lawrence County,2004,Intercensal Population Estimate,111468
36091,Saratoga County,2004,Intercensal Population Estimate,211478
36093,Schenectady County,2004,Intercensal Population Estimate,148900
36095,Schoharie County,2004,Intercensal Population Estimate,32310
36097,Schuyler County,2004,Intercensal Population Estimate,19034
36099,Seneca County,2004,Intercensal Population Estimate,35312
36101,Steuben County,2004,Intercensal Population Estimate,98983
36103,Suffolk County,2004,Intercensal Population Estimate,1478215
36105,Sullivan County,2004,Intercensal Population Estimate,76265
36107,Tioga County,2004,Intercensal Population Estimate,51631
36109,Tompkins County,2004,Intercensal Population Estimate,99531
36111,Ulster County,2004,Intercensal Population Estimate,181847
36113,Warren County,2004,Intercensal Population Estimate,64576
36115,Washington County,2004,Intercensal Population Estimate,62278
36117,Wayne County,2004,Intercensal Population Estimate,93860
36119,Westchester County,2004,Intercensal Population Estimate,935457
36121,Wyoming County,2004,Intercensal Population Estimate,42852
36123,Yates County,2004,Intercensal Population Estimate,25008
36000,New York State,2005,Intercensal Population Estimate,19132610
36001,Albany County,2005,Intercensal Population Estimate,302791
36003,Allegany County,2005,Intercensal Population Estimate,49768
36005,Bronx County,2005,Intercensal Population Estimate,1351736
36007,Broome County,2005,Intercensal Population Estimate,200477
36009,Cattaraugus County,2005,Intercensal Population Estimate,82039
36011,Cayuga County,2005,Intercensal Population Estimate,81104
36013,Chautauqua County,2005,Intercensal Population Estimate,136139
36015,Chemung County,2005,Intercensal Population Estimate,88860
36017,Chenango County,2005,Intercensal Population Estimate,51154
36019,Clinton County,2005,Intercensal Population Estimate,82233
36021,Columbia County,2005,Intercensal Population Estimate,63717
36023,Cortland County,2005,Intercensal Population Estimate,49330
36025,Delaware County,2005,Intercensal Population Estimate,48377
36027,Dutchess County,2005,Intercensal Population Estimate,294362
36029,Erie County,2005,Intercensal Population Estimate,931745
36031,Essex County,2005,Intercensal Population Estimate,39321
36033,Franklin County,2005,Intercensal Population Estimate,51257
36035,Fulton County,2005,Intercensal Population Estimate,55301
36037,Genesee County,2005,Intercensal Population Estimate,60068
36039,Greene County,2005,Intercensal Population Estimate,49142
36041,Hamilton County,2005,Intercensal Population Estimate,5093
36043,Herkimer County,2005,Intercensal Population Estimate,64292
36045,Jefferson County,2005,Intercensal Population Estimate,113486
36047,Kings County,2005,Intercensal Population Estimate,2445809
36049,Lewis County,2005,Intercensal Population Estimate,26773
36051,Livingston County,2005,Intercensal Population Estimate,65322
36053,Madison County,2005,Intercensal Population Estimate,71471
36055,Monroe County,2005,Intercensal Population Estimate,738506
36057,Montgomery County,2005,Intercensal Population Estimate,49505
36059,Nassau County,2005,Intercensal Population Estimate,1332318
